team,jersey,name,pos,games,age,college,mover,also,resolved
baltimore-colts,44,Lyle Blackwood,DB,16,28,Texas Christian,,,
baltimore-colts,83,Mack Alston,TE,14,32,Maryland Eastern Shore,,,
baltimore-colts,63,Mike Barnes,DT,14,28,Miami,,,
baltimore-colts,51,Mike Ozdowski,DE,11,24,Virginia,,,
baltimore-colts,45,Mike Siani,WR,10,29,Villanova,,,
baltimore-colts,59,Mike Woods,LB,16,25,Cincinnati,,,
baltimore-colts,25,Nesby Glasgow,DB,16,22,Washington,,,
baltimore-colts,43,Norm Thompson,DB,12,34,Utah,,,
baltimore-colts,84,Randy Burke,WR,16,24,Kentucky,,,
baltimore-colts,86,Reese McCall,TE,14,23,Auburn,,,
baltimore-colts,37,Reggie Pinkney,DB,16,24,East Carolina,,,
baltimore-colts,81,Roger Carr,WR,9,27,Louisiana Tech,,,
baltimore-colts,60,Ron Baker,OG,16,24,Oklahoma State,,,
baltimore-colts,73,Ron Fernandes,DE,13,28,Eastern Michigan,,,
baltimore-colts,48,Roosevelt Leaks,RB,7,26,Texas,,,
baltimore-colts,54,Sanders Shiver,LB,16,25,Carson-Newman,,,
baltimore-colts,53,Stan White,LB,16,30,Ohio State,,,
baltimore-colts,5,Steve Mike-Mayer,K,13,32,Maryland,,,
baltimore-colts,58,Steve Zabel,LB,15,31,Oklahoma,,,
baltimore-colts,69,Wade Griffin,OT,16,25,Mississippi,,,
buffalo-bills,77,Ben Williams,DE,16,25,Mississippi,,,
buffalo-bills,9,Bill Munson,QB,3,38,Utah State,,,
buffalo-bills,81,Bob Chandler,WR,3,30,Southern California,,,
buffalo-bills,26,Charles Romes,DB,16,24,North Carolina Central,,,
buffalo-bills,52,Chris Keating,LB,16,22,Maine,,,
buffalo-bills,47,Curtis Brown,RB,15,24,Missouri,,,
buffalo-bills,51,Dan Jilek,LB,15,25,Michigan,,,
buffalo-bills,11,Dan Manucci,QB,14,22,Kansas State,,,
buffalo-bills,84,Danny Fulton,WR,6,23,Nebraska-Omaha,,,
buffalo-bills,74,Dee Hardison,DE,16,23,North Carolina,,,
buffalo-bills,39,Dennis Johnson,RB,3,23,Mississippi State,,,
buffalo-bills,21,Doug Greene,DB,15,23,Texas A&M-Kingsville,,,
buffalo-bills,65,Ed Fulton,OG,5,24,Maryland,,,
buffalo-bills,82,Frank Lewis,WR,15,32,Grambling,,,
buffalo-bills,76,Fred Smerlas,DT,13,22,Boston College,,,
buffalo-bills,58,Isiah Robertson,LB,16,30,Southern,,,
buffalo-bills,38,Jeff Nixon,DB,16,23,Richmond,,,
buffalo-bills,80,Jerry Butler,WR,13,22,Clemson,,,
buffalo-bills,55,Jim Haslett,LB,16,23,Indiana (PA),,,
buffalo-bills,68,Joe DeLamielleure,OG,16,28,Michigan State,,,
buffalo-bills,70,Joe Devlin,OT,16,25,Iowa,,,
buffalo-bills,12,Joe Ferguson,QB,16,29,Arkansas,,,
buffalo-bills,73,Jon Borchardt,OG,16,22,Montana State,,,
buffalo-bills,87,Joseph Shipp,TE,16,24,Southern California,,,
buffalo-bills,46,Keith Moody,DB,16,26,Syracuse,,,
buffalo-bills,91,Ken Johnson,DE,3,24,Knoxville,,namesake,
buffalo-bills,72,Ken Jones,OT,16,26,Arkansas State,,,
buffalo-bills,86,Leonard Willis,WR,7,26,Ohio State,,,
buffalo-bills,89,Lou Piccone,WR,16,30,West Liberty State,,,
buffalo-bills,57,Lucius Sanford,LB,16,23,Georgia Tech,,,
buffalo-bills,29,Mario Clark,DB,16,25,Oregon,,,
buffalo-bills,35,Mike Collier,RB,16,26,Morgan State,,,
buffalo-bills,71,Mike Kadish,DT,16,29,Notre Dame,,,
buffalo-bills,5,Nick Mike-Mayer,K,13,29,Temple,,,
buffalo-bills,67,Reggie McKenzie,OG,16,29,Michigan,,,
buffalo-bills,88,Reuben Gant,TE,14,27,Oklahoma State,,,
buffalo-bills,25,Roland Hooks,RB,16,26,North Carolina State,,,
buffalo-bills,85,Ron Howard,TE,1,28,Seattle,,,
buffalo-bills,4,Rusty Jackson,P,16,28,Louisiana State,,,
buffalo-bills,90,Scott Hutchinson,DE,16,23,Florida,,,
buffalo-bills,59,Shane Nelson,LB,16,24,Baylor,,,
buffalo-bills,83,Sherman White,DE,15,31,California,,,
buffalo-bills,22,Steve Freeman,DB,16,26,Mississippi State,,,
buffalo-bills,23,Steve Powell,RB,15,23,Northeast Missouri State,,,
buffalo-bills,40,Terry Miller,RB,16,23,Oklahoma State,,,
buffalo-bills,65,Tim Vogler,C,10,23,Ohio State,,,
buffalo-bills,6,Tom Dempsey,K,3,38,Palomar College JC (CA),,,
buffalo-bills,54,Tom Higgins,LB,16,25,North Carolina State,,,
buffalo-bills,43,Tony Greene,DB,16,30,Maryland,,,
buffalo-bills,53,Will Grant,C,16,25,Kentucky,,,
buffalo-bills,61,Willie Parker,C,16,30,North Texas,,,
chicago-bears,90,Al Harris,LB,4,22,Arizona State,,,
chicago-bears,82,Alan Page,DT,16,34,Notre Dame,,,
chicago-bears,48,Allan Ellis,DB,8,28,UCLA,,,
chicago-bears,7,Bob Avellini,QB,7,26,Maryland,,,
chicago-bears,86,Bob Parsons,P,16,29,Penn State,,,
chicago-bears,16,Bob Thomas,K,16,27,Notre Dame,,,
chicago-bears,84,Brian Baschnagel,WR,16,25,Ohio State,,,
chicago-bears,51,Bruce Herron,LB,16,25,New Mexico,,,
chicago-bears,99,Dan Hampton,DT,16,22,Arkansas,,,
chicago-bears,62,Dan Jiggetts,OT,16,25,Harvard,,,
chicago-bears,52,Dan Neal,C,16,30,Kentucky,,,
chicago-bears,22,Dave Williams,RB,14,25,Colorado,,,
chicago-bears,70,Dennis Lick,OT,16,25,Wisconsin,,,
chicago-bears,55,Doug Buffone,LB,16,35,Louisville,,,
chicago-bears,46,Doug Plank,DB,16,26,Ohio State,,,
chicago-bears,59,Gary Campbell,LB,16,27,Colorado,,,
