team,jersey,name,pos,games,age,college,mover,also,resolved
detroit-lions,75,Dave Pureifory,DE,15,30,Eastern Michigan,,,
detroit-lions,52,Dave Washington,LB,7,31,Alcorn State,,,
detroit-lions,81,David Hill,TE,16,25,Texas A&M-Kingsville,,,
detroit-lions,58,Dennis Franks,C,13,26,Michigan,,,
detroit-lions,24,Dexter Bussey,RB,16,27,Texas-Arlington,,,
detroit-lions,62,Don Morrison,OT,15,29,Texas-Arlington,,,
detroit-lions,43,Don Patterson,DB,2,22,Georgia Tech,,,
detroit-lions,78,Doug English,DT,16,26,Texas,,,
detroit-lions,46,Doug Jones,DB,10,29,Cal State-Northridge,,,
detroit-lions,55,Ed O'Neil,LB,16,27,Penn State,,,
detroit-lions,50,Eddie Cole,LB,15,22,Mississippi,,,
detroit-lions,48,Eddie Lewis,DB,15,25,Kansas,yes,san-francisco-49ers:7,games
detroit-lions,44,Ernie Jackson,DB,2,29,Duke,,,
detroit-lions,87,Freddie Scott,WR,14,27,Amherst,,,
detroit-lions,63,Garry Cobb,LB,8,22,Southern California,,,
detroit-lions,18,Gene Washington,WR,16,32,Stanford,,namesake,
detroit-lions,61,Homer Elias,OG,15,24,Tennessee State,,,
detroit-lions,25,Horace King,RB,16,26,Georgia,,,
detroit-lions,51,James Harrell,LB,9,22,Florida,,,
detroit-lions,28,James Hunter,DB,15,25,Grambling,,,
detroit-lions,19,Jeff Komlo,QB,16,23,Delaware,,,
detroit-lions,40,Jimmy Allen,DB,16,27,UCLA,,,
detroit-lions,46,Jimmy Stewart,DB,5,25,Tulsa,,,
detroit-lions,14,Joe Reed,QB,2,31,Mississippi State,,,
detroit-lions,47,John Arnold,WR,7,24,Wyoming,,,
detroit-lions,53,Jon Brooks,LB,15,22,Clemson,,,
detroit-lions,76,Karl Baldischwiler,OT,16,23,Oklahoma,,,
detroit-lions,66,Karl Chandler,C,1,27,Princeton,,,
detroit-lions,70,Keith Dorney,OT,16,21,Penn State,,,
detroit-lions,31,Ken Callicutt,RB,16,24,Clemson,,,
detroit-lions,48,Ken Ellis,DB,10,32,Southern,yes,los-angeles-rams:3,games
detroit-lions,57,Ken Fantetti,LB,16,22,Wyoming,,,
detroit-lions,82,Ken Sanders,DE,5,29,Howard Payne,,,
detroit-lions,12,Larry Swider,P,14,24,Pittsburgh,,,
detroit-lions,54,Larry Tearry,C,11,23,Wake Forest,,,
detroit-lions,38,Lawrence Gaines,RB,16,25,Wyoming,,,
detroit-lions,39,Leonard Thompson,WR,15,27,Oklahoma State,,,
detroit-lions,89,Luther Blue,WR,9,25,Iowa State,,,
detroit-lions,27,Luther Bradley,DB,16,24,Notre Dame,,,
detroit-lions,32,Rick Kane,RB,16,24,San Jose State,,,
detroit-lions,47,Robert Woods,WR,1,24,Grambling,,namesake,
detroit-lions,73,Russ Bolinger,OG,16,25,Long Beach State,,,
detroit-lions,10,Scott Hunter,QB,13,31,Alabama,,,
detroit-lions,15,Tom Skladany,P,2,24,Ohio State,,,
detroit-lions,26,Tony Leonard,DB,1,26,Virginia Union,,,
detroit-lions,80,Ulysses Norris,TE,16,22,Georgia,,,
detroit-lions,67,Wally Pesuit,OG,16,25,Kentucky,,,
detroit-lions,21,Walt Williams,DB,12,25,New Mexico State,,,
detroit-lions,79,William Gay,DE,15,24,Southern California,,,
green-bay-packers,89,Aundra Thompson,WR,15,26,Texas A&M-Commerce,,,
green-bay-packers,33,Barty Smith,RB,6,27,Richmond,,,
green-bay-packers,70,Bob Barber,DE,16,27,Grambling,,,
green-bay-packers,85,Bobby Kimball,WR,7,22,Oklahoma,,,
green-bay-packers,75,Carl Barzilauskas,DT,5,28,Indiana,,,
green-bay-packers,78,Casey Merrill,DE,13,22,California-Davis,,,
green-bay-packers,99,Charles Johnson,DT,16,22,Maryland,,namesake,
green-bay-packers,13,Chester Marcol,K,10,30,Hillsdale,,,
green-bay-packers,61,Dave Simmons,LB,16,22,North Carolina,,,
green-bay-packers,11,David Beverly,P,16,29,Auburn,,,
green-bay-packers,17,David Whitehurst,QB,13,24,Furman,,,
green-bay-packers,57,Derrel Gofourth,OG,16,24,Oklahoma State,,,
green-bay-packers,73,Earl Edwards,DT,9,33,Wichita State,,,
green-bay-packers,40,Eddie Lee Ivery,RB,1,22,Georgia Tech,,,
green-bay-packers,26,Eric Torkelson,RB,14,27,Connecticut,,,
green-bay-packers,38,Estus Hood,DB,16,23,Illinois State,,,
green-bay-packers,90,Ezra Johnson,DE,11,24,Morris Brown,,,
green-bay-packers,52,Gary Weaver,LB,14,30,Fresno State,,,
green-bay-packers,68,Greg Koch,OT,16,24,Arkansas,,,
green-bay-packers,43,Henry Monroe,DB,6,22,Mississippi State,yes,philadelphia-eagles:3,2K5 block (games tied)
green-bay-packers,36,Howard Sampson,DB,16,23,Arkansas,,,
green-bay-packers,80,James Lofton,WR,16,23,Stanford,,,
green-bay-packers,31,Jim Culbreath,RB,4,27,Oklahoma,,,
green-bay-packers,51,Jim Gueno,LB,16,25,Tulane,,,
green-bay-packers,62,Joe McLaughlin,LB,3,22,Massachusetts,,,
green-bay-packers,59,John Anderson,LB,7,23,Michigan,,,
green-bay-packers,83,John Thompson,TE,16,22,Utah State,,,
green-bay-packers,24,Johnnie Gray,DB,16,25,Cal State-Fullerton,,,
green-bay-packers,54,Larry McCarren,C,16,27,Illinois,,,
green-bay-packers,69,Leotis Harris,OG,15,24,Arkansas,,,
green-bay-packers,10,Lynn Dickey,QB,5,30,Kansas State,,,
green-bay-packers,79,Mark Koncar,OT,12,26,Colorado,,,
green-bay-packers,71,Melvin Jackson,OG,16,25,Southern California,,,
green-bay-packers,77,Mike Butler,DE,14,25,Kansas,,,
green-bay-packers,53,Mike Douglass,LB,16,24,San Diego State,,,
green-bay-packers,55,Mike Hunt,LB,3,23,Minnesota,,,
green-bay-packers,29,Mike McCoy,DB,16,26,Colorado,,namesake,
green-bay-packers,65,Mike Wellman,C,16,23,Kansas,,,
green-bay-packers,48,Nate Simpson,RB,15,24,Tennessee State,,,
green-bay-packers,82,Paul Coffman,TE,16,23,Kansas State,,,
green-bay-packers,58,Paul Rudzinski,LB,11,23,Michigan State,,,
green-bay-packers,50,Rich Wingo,LB,16,23,Alabama,,,
green-bay-packers,30,Ricky Patton,RB,10,25,Jackson State,yes,atlanta-falcons:4,games
green-bay-packers,88,Ron Cassidy,WR,8,22,Utah State,,,
green-bay-packers,39,Sammy Johnson,RB,3,27,North Carolina,,,
green-bay-packers,32,Steve Atkins,RB,7,23,Maryland,,,
green-bay-packers,46,Steve Luke,DB,16,26,Ohio State,,,
green-bay-packers,84,Steve Odom,WR,15,27,Utah,yes,new-york-giants:6,games
green-bay-packers,58,Steve Stewart,LB,3,23,Minnesota,,,
green-bay-packers,21,Steve Wagner,DB,16,25,Wisconsin,,,
green-bay-packers,34,Terdell Middleton,RB,14,24,Memphis,,,
green-bay-packers,63,Terry Jones,DT,12,22,Alabama,,,
green-bay-packers,76,Timothy Stokes,OT,16,29,Oregon,,,
green-bay-packers,19,Tom Birney,K,6,23,Michigan State,,,
green-bay-packers,42,Walt Landers,RB,9,26,Clark Atlanta,,,
green-bay-packers,87,Walter Tullis,WR,16,26,Delaware State,,,
green-bay-packers,20,Wylie Turner,DB,12,22,Angelo State,,,
houston-oilers,69,Andy Dorris,DE,16,28,New Mexico State,,,
houston-oilers,53,Art Stringer,LB,8,25,Ball State,,,
houston-oilers,20,Bill Currier,DB,16,24,South Carolina,,,
houston-oilers,84,Billy Johnson,WR,2,27,Widener,,,
houston-oilers,42,Boobie Clark,RB,15,29,Bethune-Cookman,,,
houston-oilers,55,Carl Mauck,C,16,32,Southern Illinois,,,
houston-oilers,36,Carter Hartwig,DB,16,23,Southern California,,,
houston-oilers,21,Charles Jefferson,DB,5,22,McNeese State,,,
houston-oilers,18,Cliff Parsley,P,16,24,Oklahoma State,,,
houston-oilers,87,Conrad Rucker,TE,16,24,Southern,,,
houston-oilers,70,Conway Hayman,OG,16,30,Delaware,,,
houston-oilers,78,Curley Culp,DT,16,33,Arizona State,,,
houston-oilers,7,Dan Pastorini,QB,15,30,Santa Clara,,,
houston-oilers,50,Daryl Hunt,LB,16,22,Oklahoma,,,
houston-oilers,58,David Carter,C,16,25,Western Kentucky,,,
houston-oilers,34,Earl Campbell,RB,16,24,Texas,,,
houston-oilers,60,Ed Fisher,OG,16,30,Arizona State,,,
houston-oilers,89,Eddie Foster,WR,1,25,Houston,,,
houston-oilers,65,Elvin Bethea,DE,14,33,North Carolina A&T,,,
houston-oilers,64,George Reihner,OG,2,24,Penn State,,,
houston-oilers,14,Gifford Nielsen,QB,16,25,Brigham Young,,,
houston-oilers,27,Greg Stemrick,DB,16,28,Colorado State,,,
houston-oilers,54,Gregg Bingham,LB,16,28,Purdue,,,
houston-oilers,12,Guido Merkens,QB,16,24,Sam Houston State,,,
houston-oilers,33,J.C. Wilson,DB,16,23,Pittsburgh,,,
houston-oilers,81,Jeff Groth,WR,10,22,Bowling Green,yes,miami-dolphins:4,games
houston-oilers,75,Jesse Baker,DE,16,22,Jacksonville State,,,
houston-oilers,77,Jim Young,DE,5,29,Texas Southern,,,
houston-oilers,57,Jimbo Elrod,LB,4,25,Oklahoma,,,
houston-oilers,00,Ken Burrough,WR,16,31,Texas Southern,,,
houston-oilers,71,Ken Kennard,DT,16,25,Angelo State,,,
houston-oilers,30,Kenny King,RB,12,22,Oklahoma,,,
houston-oilers,74,Leon Gray,OT,16,27,Jackson State,,,
houston-oilers,86,Mike Barber,TE,15,26,Louisiana Tech,,,
houston-oilers,56,Mike Murphy,LB,3,22,Southwest Missouri State,,,
houston-oilers,37,Mike Reinfeldt,DB,16,26,Wisconsin-Milwaukee,,,
houston-oilers,82,Mike Renfro,WR,15,24,Texas Christian,,,
houston-oilers,67,Mike Stensrud,DT,6,23,Iowa State,,,
houston-oilers,76,Morris Towns,OT,16,25,Missouri,,,
houston-oilers,88,Rich Caster,TE,16,31,Jackson State,,,
houston-oilers,85,Rich Ellender,RB,13,22,McNeese State,,,
houston-oilers,26,Rob Carpenter,RB,16,24,Miami (OH),,,
houston-oilers,52,Robert Brazile,LB,16,26,Jackson State,,,
houston-oilers,47,Ronnie Coleman,RB,14,28,Alabama A&M,,,
houston-oilers,63,Steve Baumgartner,DE,12,28,Purdue,,,
houston-oilers,51,Ted Thompson,LB,16,26,Southern Methodist,,,
houston-oilers,59,Ted Washington,LB,15,31,Mississippi Valley State,,,
houston-oilers,45,Tim Wilson,RB,16,25,Maryland,,,
houston-oilers,68,Tom Randall,OG,13,23,Iowa State,,,
houston-oilers,16,Toni Fritsch,K,16,34,,,,
houston-oilers,32,Vernon Perry,DB,16,26,Jackson State,,,
houston-oilers,61,Wes Phillips,OT,8,26,Lenoir-Rhyne,,,
houston-oilers,19,Willie Alexander,DB,13,30,Alcorn State,,,
kansas-city-chiefs,21,Arnold Morgado,RB,11,27,Hawaii,,,
kansas-city-chiefs,67,Art Still,DE,16,23,Kentucky,,,
kansas-city-chiefs,1,Bob Grupp,P,16,24,Duke,,,
kansas-city-chiefs,73,Bob Simmons,OG,16,25,Texas,,,
kansas-city-chiefs,50,Cal Peterson,LB,16,27,UCLA,,,
kansas-city-chiefs,51,Charles Jackson,LB,12,24,Washington,,,
kansas-city-chiefs,56,Charlie Ane,C,16,27,Michigan State,,,
kansas-city-chiefs,77,Charlie Getty,OT,16,27,Penn State,,,
kansas-city-chiefs,90,Curtis Anderson,DE,6,22,Central State,,,
kansas-city-chiefs,71,Dave Lindstrom,DE,13,24,Boston University,,,
kansas-city-chiefs,55,Dave Rozumek,LB,7,25,New Hampshire,,,
kansas-city-chiefs,61,Don Parrish,DT,16,24,Pittsburgh,,,
kansas-city-chiefs,23,Earl Gant,RB,16,22,Missouri,,,
kansas-city-chiefs,85,Ed Beckman,TE,9,24,Florida State,,,
kansas-city-chiefs,54,Frank Manumaleuga,LB,15,23,San Jose State,,,
kansas-city-chiefs,26,Gary Barbaro,DB,16,25,Nicholls State,,,
kansas-city-chiefs,24,Gary Green,DB,16,24,Baylor,,,
kansas-city-chiefs,59,Gary Spani,LB,16,23,Kansas State,,,
kansas-city-chiefs,49,Gerald Jackson,DB,16,23,Mississippi State,,,
kansas-city-chiefs,89,Henry Marshall,WR,16,25,Missouri,,,
kansas-city-chiefs,41,Herb Christopher,DB,9,25,Morris Brown,,,
kansas-city-chiefs,35,Horace Belton,RB,16,24,Southeastern Louisiana,,,
kansas-city-chiefs,20,Horace Perkins,DB,16,25,Colorado,,,
kansas-city-chiefs,86,J.T. Smith,WR,16,24,North Texas,,,
kansas-city-chiefs,58,Jack Rudnay,C,16,31,Northwestern,,,
kansas-city-chiefs,3,Jan Stenerud,K,16,36,Montana State,,,
kansas-city-chiefs,57,Jerry Blanton,LB,16,22,Kentucky,,,
kansas-city-chiefs,31,Jerry Reese,DB,7,24,Oklahoma,,,
kansas-city-chiefs,70,Jim Nicholson,OT,15,30,Michigan State,,,
kansas-city-chiefs,80,Johnnie Dirden,WR,4,27,Sam Houston State,,,
kansas-city-chiefs,91,Ken Kremer,DT,16,22,Ball State,,,
kansas-city-chiefs,79,Larry Brown,OT,4,24,Miami,,namesake,
kansas-city-chiefs,42,M.L. Carter,DB,16,23,San Jose State,,,
kansas-city-chiefs,60,Matt Herkenhoff,OT,5,28,Minnesota,,,
kansas-city-chiefs,99,Mike Bell,DE,11,22,Colorado State,,,
kansas-city-chiefs,10,Mike Livingston,QB,5,33,Southern Methodist,,,
kansas-city-chiefs,80,Mike Williams,RB,14,22,New Mexico,,namesake,
kansas-city-chiefs,76,Rod Walters,OG,16,25,Iowa,,,
kansas-city-chiefs,87,Stan Rome,WR,9,23,Clemson,,,
kansas-city-chiefs,4,Steve Fuller,QB,16,22,Clemson,,,
kansas-city-chiefs,83,Steve Gaunty,WR,9,22,Northern Colorado,,,
kansas-city-chiefs,75,Sylvester Hicks,DE,16,24,Tennessee State,,,
kansas-city-chiefs,22,Ted McKnight,RB,15,25,Minnesota-Duluth,,,
kansas-city-chiefs,37,Tim Collier,DB,15,25,Texas A&M-Commerce,,,
kansas-city-chiefs,65,Tom Condon,OG,16,27,Boston College,,,
kansas-city-chiefs,52,Tom Howard,LB,16,25,Texas Tech,,,
kansas-city-chiefs,32,Tony Reed,RB,11,24,Colorado,,,
kansas-city-chiefs,86,Tony Samuels,TE,16,24,Bethune-Cookman,,,
kansas-city-chiefs,88,Walter White,TE,6,28,Maryland,,,
kansas-city-chiefs,53,Whitney Paul,LB,15,26,Colorado,,,
kansas-city-chiefs,34,Wilbert Haslip,RB,5,22,Hawaii,,,
los-angeles-rams,62,Bill Bain,OG,8,27,Southern California,,,
los-angeles-rams,66,Bill Dunstan,DT,10,30,Utah State,,,
los-angeles-rams,80,Billy Waddy,WR,13,25,Colorado,,,
los-angeles-rams,59,Bob Brudzinski,LB,16,24,Ohio State,,,
los-angeles-rams,19,Bob Lee,QB,3,34,Pacific,,,
los-angeles-rams,86,Charle Young,TE,15,28,Southern California,,,
los-angeles-rams,32,Cullen Bryant,RB,16,28,Colorado,,,
los-angeles-rams,54,Dan Ryczek,C,16,30,Virginia,,,
los-angeles-rams,42,Dave Elmendorf,DB,16,30,Texas A&M,,,
los-angeles-rams,60,Dennis Harrah,OG,13,26,Miami,,,
los-angeles-rams,77,Doug France,OT,16,26,Ohio State,,,
los-angeles-rams,62,Doug Smith,C,4,22,Bowling Green,,,
los-angeles-rams,87,Drew Hill,WR,16,23,Georgia Tech,,,
los-angeles-rams,33,Dwayne O'Steen,DB,16,24,San Jose State,,,
los-angeles-rams,25,Eddie Brown,DB,16,27,Tennessee,,,
los-angeles-rams,24,Eddie Hill,RB,16,22,Memphis,,,
los-angeles-rams,34,Elvis Peacock,RB,11,22,Oklahoma,,,
los-angeles-rams,3,Frank Corral,K,16,24,UCLA,,,
los-angeles-rams,89,Fred Dryer,DE,16,33,San Diego State,,,
los-angeles-rams,52,George Andrews,LB,16,23,Nebraska,,,
los-angeles-rams,73,Gordon Gravelle,OT,12,30,Brigham Young,yes,new-york-giants:4,games
los-angeles-rams,57,Greg Westbrooks,LB,9,26,Colorado,yes,oakland-raiders:4,games
los-angeles-rams,37,Ivory Sully,DB,8,22,Delaware,,,
los-angeles-rams,64,Jack Reynolds,LB,16,31,Tennessee,,,
los-angeles-rams,85,Jack Youngblood,DE,16,29,Florida,,,
los-angeles-rams,78,Jackie Slater,OT,16,25,Jackson State,,,
los-angeles-rams,20,Jackie Wallace,DB,4,28,Arizona,,,
los-angeles-rams,8,Jeff Rutledge,QB,3,22,Alabama,,,
los-angeles-rams,45,Jeff Severson,DB,1,30,Long Beach State,,,
los-angeles-rams,70,Jerry Wilkinson,DE,16,23,Oregon State,,,
los-angeles-rams,43,Jim Jodat,RB,7,25,Carthage,,,
los-angeles-rams,53,Jim Youngblood,LB,16,29,Tennessee Tech,,,
los-angeles-rams,51,Joe Harris,LB,15,26,Georgia Tech,yes,minnesota-vikings:2,games
los-angeles-rams,75,John Williams,OT,11,34,Minnesota,,,
los-angeles-rams,13,Ken Clark,P,16,31,St. Mary's (Canada),,,
los-angeles-rams,72,Kent Hill,OG,16,22,Georgia Tech,,,
los-angeles-rams,50,Kevin McLain,LB,10,25,Colorado State,,,
los-angeles-rams,90,Larry Brooks,DT,16,29,Virginia State,,,
los-angeles-rams,30,Lawrence McCutcheon,RB,11,29,Colorado State,,,
los-angeles-rams,79,Mike Fanning,DT,16,26,Notre Dame,,,
los-angeles-rams,21,Nolan Cromwell,DB,16,24,Kansas,,,
los-angeles-rams,11,Pat Haden,QB,10,26,Southern California,,,
los-angeles-rams,27,Pat Thomas,DB,8,25,Texas A&M,,,
los-angeles-rams,88,Preston Dennard,WR,15,23,New Mexico,,,
los-angeles-rams,71,Reggie Doss,DE,16,22,Hampton,,,
los-angeles-rams,61,Rich Saul,C,16,31,Michigan State,,,
los-angeles-rams,23,Ricky Odom,DB,3,23,Southern California,,,
los-angeles-rams,49,Rod Perry,DB,9,26,Colorado,,,
los-angeles-rams,81,Ron Jessie,WR,6,31,Kansas,,,
los-angeles-rams,84,Ron Smith,WR,12,22,San Diego State,,,
los-angeles-rams,29,Sidney Justin,DB,13,25,Long Beach State,,,
los-angeles-rams,83,Terry Nelson,TE,16,28,Arkansas-Pine Bluff,,,
los-angeles-rams,15,Vince Ferragamo,QB,8,25,Nebraska,,,
los-angeles-rams,26,Wendell Tyler,RB,16,24,UCLA,,,
los-angeles-rams,82,Willie Miller,WR,3,32,Colorado State,,,
miami-dolphins,77,A.J. Duhe,LB,13,23,Louisiana State,,,
miami-dolphins,73,Bob Baumhower,DT,16,24,Alabama,,,
miami-dolphins,12,Bob Griese,QB,14,34,Purdue,,,
miami-dolphins,67,Bob Kuechenberg,OG,16,32,Notre Dame,,,
miami-dolphins,53,Bob Matheson,LB,16,34,Duke,,,
miami-dolphins,38,Bob Torrey,RB,13,22,Penn State,yes,new-york-giants:6,games
miami-dolphins,84,Bruce Hardy,TE,16,23,Arizona State,,,
miami-dolphins,78,Carl Barisich,DT,11,28,Princeton,,,
miami-dolphins,49,Charlie Babb,DB,5,29,Memphis,,,
miami-dolphins,61,Cleveland Green,OT,16,22,Southern,,,
miami-dolphins,24,Delvin Williams,RB,14,28,Kansas,,,
miami-dolphins,46,Don Bessillieu,DB,16,23,Georgia Tech,,,
miami-dolphins,10,Don Strock,QB,16,28,Virginia Tech,,,
miami-dolphins,75,Doug Betters,DE,16,23,Nevada,,,
miami-dolphins,82,Duriel Harris,WR,15,24,New Mexico State,,,
miami-dolphins,55,Earnest Rhone,LB,16,26,Henderson State,,,
miami-dolphins,64,Ed Newman,OG,16,28,Duke,,,
miami-dolphins,45,Ed Taylor,DB,9,26,Memphis,yes,new-york-jets:4,games
miami-dolphins,68,Eric Laakso,OT,10,22,Tulane,,,
miami-dolphins,27,Gary Davis,RB,16,25,Cal Poly-S.L.O.,,,
miami-dolphins,4,George Roberts,P,16,24,Virginia Tech,,,
miami-dolphins,48,Gerald Small,DB,16,23,San Jose State,,,
miami-dolphins,47,Glenn Blackwood,DB,11,22,Texas,,,
miami-dolphins,7,Guy Benjamin,QB,4,24,Stanford,,,
miami-dolphins,60,Jeff Toews,OG,11,21,Washington,,,
miami-dolphins,62,Jim Langer,C,9,31,South Dakota State,,,
miami-dolphins,81,Jimmy Cefalo,WR,16,23,Penn State,,,
miami-dolphins,79,Jon Giesler,OT,16,22,Michigan,,,
miami-dolphins,58,Kim Bokamper,DE,14,25,San Jose State,,,
miami-dolphins,39,Larry Csonka,RB,16,32,Syracuse,,,
miami-dolphins,50,Larry Gordon,LB,16,26,Arizona State,,,
miami-dolphins,66,Larry Little,OG,15,33,Bethune-Cookman,,,
miami-dolphins,63,Mark Dennard,C,16,23,Texas A&M,,,
miami-dolphins,52,Mel Land,LB,16,23,Michigan State,,,
miami-dolphins,71,Mike Current,OT,16,34,Ohio State,,,
miami-dolphins,37,Mike Kozlowski,DB,16,23,Colorado,,,
miami-dolphins,89,Nat Moore,WR,16,28,Florida,,,
miami-dolphins,20,Neal Colzie,DB,16,26,Ohio State,,,
miami-dolphins,31,Norm Bulaich,RB,9,32,Texas Christian,,,
miami-dolphins,41,Norris Thomas,DB,16,25,Southern Mississippi,,,
miami-dolphins,54,Ralph Ortega,LB,8,26,Florida,,,
miami-dolphins,86,Ronnie Lee,OT,16,22,Baylor,,,
miami-dolphins,51,Rusty Chambers,LB,16,25,Tulane,,,
miami-dolphins,36,Steve Howell,RB,16,22,Baylor,,,
miami-dolphins,56,Steve Towle,LB,16,26,Kansas,,,
miami-dolphins,25,Tim Foley,DB,15,31,Purdue,,,
miami-dolphins,22,Tony Nathan,RB,16,22,Alabama,,,
miami-dolphins,5,Uwe Von Schamann,K,16,23,Oklahoma,,,
miami-dolphins,83,Vern Den Herder,DE,16,30,Central College (IA),,,
minnesota-vikings,28,Ahmad Rashad,WR,16,29,Oregon,,,
minnesota-vikings,38,Bob Tucker,TE,16,34,Bloomsburg,,,
minnesota-vikings,20,Bobby Bryant,DB,14,35,South Carolina,,,
minnesota-vikings,33,Brent McClanahan,RB,16,28,Arizona State,,,
minnesota-vikings,68,Charlie Goodrum,OT,15,29,Florida A&M,,,
minnesota-vikings,44,Chuck Foreman,RB,12,29,Miami,,,
minnesota-vikings,56,Dave Huffman,OG,13,22,Notre Dame,,,
minnesota-vikings,76,Dave Roller,DT,15,30,Kentucky,,,
minnesota-vikings,67,Dennis Swilley,C,16,24,North Texas,,,
minnesota-vikings,57,Derrel Luce,LB,16,27,Baylor,,,
minnesota-vikings,69,Doug Sutherland,DT,16,31,Wisconsin-Superior,,,
minnesota-vikings,89,Douglas Cunningham,WR,6,23,Rice,,,
minnesota-vikings,74,Frank Myers,OT,14,23,Texas A&M,,,
minnesota-vikings,54,Fred McNeill,LB,16,27,UCLA,,,
minnesota-vikings,8,Greg Coleman,P,16,25,Florida A&M,,,
minnesota-vikings,72,James White,DT,16,26,Oklahoma State,,,
minnesota-vikings,50,Jeff Siemon,LB,16,29,Stanford,,,
minnesota-vikings,51,Jim Hough,OG,16,23,Utah State,,,
minnesota-vikings,70,Jim Marshall,DE,16,41,Ohio State,,,
minnesota-vikings,32,Jimmy Edwards,RB,14,27,Northeast Louisiana,,,
minnesota-vikings,27,John Turner,DB,16,23,Miami,,,
minnesota-vikings,49,Keith Nord,DB,16,22,St. Cloud State,,,
minnesota-vikings,87,Kevin Miller,WR,3,24,Louisville,,,
minnesota-vikings,25,Kurt Knoff,DB,10,25,Kansas,,,
minnesota-vikings,77,Mark Mullaney,DE,16,26,Colorado State,,,
minnesota-vikings,59,Matt Blair,LB,16,29,Iowa State,,,
minnesota-vikings,25,Nate Allen,DB,8,31,Texas Southern,yes,detroit-lions:3,games
minnesota-vikings,43,Nate Wright,DB,10,32,San Diego State,,,
minnesota-vikings,22,Paul Krause,DB,16,37,Iowa,,,
minnesota-vikings,29,Phillip Wise,DB,1,30,Nebraska-Omaha,,,
minnesota-vikings,75,Randy Holloway,DE,16,24,Pittsburgh,,,
minnesota-vikings,7,Rick Danmeier,K,16,27,Sioux Falls,,,
minnesota-vikings,34,Rickey Young,RB,16,25,Jackson State,,,
minnesota-vikings,35,Robert Miller,RB,16,26,Kansas,,,
minnesota-vikings,82,Robert Steele,WR,16,23,North Alabama,,,
minnesota-vikings,73,Ron Yary,OT,16,33,Southern California,,,
minnesota-vikings,85,Sammy White,WR,15,25,Grambling,,,
minnesota-vikings,55,Scott Studwell,LB,14,25,Illinois,,,
minnesota-vikings,12,Steve Dils,QB,1,23,Stanford,,,
minnesota-vikings,71,Steve Niehaus,DT,3,25,Notre Dame,,,
minnesota-vikings,78,Steve Riley,OT,16,26,Southern California,,,
minnesota-vikings,83,Stu Voigt,TE,16,31,Wisconsin,,,
minnesota-vikings,23,Ted Brown,RB,14,22,North Carolina State,,,
minnesota-vikings,80,Terry LeCount,WR,14,23,Florida,yes,san-francisco-49ers:2,games
minnesota-vikings,47,Tim Baylor,DB,16,25,Morgan State,,,
minnesota-vikings,45,Tom Hannon,DB,16,24,Michigan State,,,
minnesota-vikings,9,Tommy Kramer,QB,16,24,Rice,,,
minnesota-vikings,58,Wally Hilgenberg,LB,8,37,Iowa,,,
minnesota-vikings,61,Wes Hamilton,OG,16,26,Tulsa,,,
new-england-patriots,35,Allan Clark,RB,16,22,Northern Arizona,,,
new-england-patriots,32,Andy Johnson,RB,5,27,Georgia,,,
new-england-patriots,67,Bill Lenkaitis,C,16,33,Penn State,,,
new-england-patriots,53,Bill Matthews,LB,16,23,South Dakota State,,,
new-england-patriots,75,Bob Cryder,OG,16,23,Alabama,,,
new-england-patriots,51,Bob Golic,DT,1,22,Notre Dame,,,
new-england-patriots,88,Carlos Pennywell,WR,6,23,Grambling,,,
new-england-patriots,22,Dick Conn,DB,1,28,Georgia,,,
new-england-patriots,44,Don Calhoun,RB,16,27,Kansas State,,,
new-england-patriots,80,Don Hasselbeck,TE,16,24,Colorado,,,
new-england-patriots,83,Donald Westbrook,WR,16,27,Nebraska,,,
new-england-patriots,27,Doug Beaudoin,DB,10,25,Minnesota,,,
new-england-patriots,62,Dwight Wheeler,C,13,24,Tennessee State,,,
new-england-patriots,8,Eddie Hare,P,16,22,Tulsa,,,
new-england-patriots,77,Garry Puetz,OG,7,27,Valparaiso,yes,philadelphia-eagles:2,games
new-england-patriots,29,Harold Jackson,WR,16,33,Jackson State,,,
new-england-patriots,23,Horace Ivory,RB,11,25,Oklahoma,,,
new-england-patriots,73,John Hannah,OG,16,28,Alabama,,,
new-england-patriots,1,John Smith,K,16,29,Southampton (England),,namesake,
new-england-patriots,54,John Zamberlin,LB,16,23,Pacific Lutheran,,,
new-england-patriots,85,Julius Adams,DE,16,31,Texas Southern,,,
new-england-patriots,63,Mark Buben,DE,16,22,Tufts,,,
new-england-patriots,46,Mark Washington,DB,12,31,Morgan State,,,
new-england-patriots,12,Matt Cavanaugh,QB,13,23,Pittsburgh,,,
new-england-patriots,72,Mel Lunsford,DT,16,29,Central State,,,
new-england-patriots,59,Mike Hawkins,LB,16,24,Texas A&M-Kingsville,,,
new-england-patriots,40,Mike Haynes,DB,16,26,Arizona State,,,
new-england-patriots,30,Mosi Tatupu,RB,16,24,Southern California,,,
new-england-patriots,58,Pete Brock,C,16,25,Colorado,,,
new-england-patriots,34,Prentice McCray,DB,14,28,Arizona State,,,
new-england-patriots,55,Ray Costict,LB,16,24,Mississippi State,,,
new-england-patriots,71,Ray Hamilton,DT,16,28,Oklahoma,,,
new-england-patriots,87,Ray Jarvis,WR,7,30,Norfolk State,,,
new-england-patriots,26,Raymond Clayborn,DB,16,24,Texas,,,
new-england-patriots,64,Richard Bishop,DT,14,29,Louisville,,,
