name,pos,age,g,povr,team,college
Andy Bolton,RB,24,6,71,detroit-lions,Fisk
Bill Fifer,OT,23,12,71,detroit-lions,West Texas A&M
Elmo Boyd,WR,24,11,71,san-francisco-49ers,Eastern Kentucky
Gerald Skinner,OT,24,15,71,green-bay-packers,Arkansas
Brian Duncan,RB,26,5,71,houston-oilers,Southern Methodist
Tony Adams,QB,28,16,71,kansas-city-chiefs,Utah State
Mark Bailey,RB,23,13,71,kansas-city-chiefs,Long Beach State
Stan Johnson,DT,23,10,71,kansas-city-chiefs,Tennessee State
Jeff Lloyd,DE,24,16,71,kansas-city-chiefs,West Texas A&M
Eddie Payton,RB,27,14,71,kansas-city-chiefs,Jackson State
Jerry Latin,RB,25,16,71,los-angeles-rams,Northern Illinois
Larry Ball,LB,29,6,71,miami-dolphins,Louisville
Bob Lingenfelter,OT,24,5,71,minnesota-vikings,Nebraska
Lyman Smith,DT,22,11,71,minnesota-vikings,Duke
Bob McKay,OT,30,12,71,new-england-patriots,Texas
Ed George,OT,32,16,71,philadelphia-eagles,Wake Forest
Mike Connell,P,22,16,71,san-francisco-49ers,Cincinnati
Bruce Elia,LB,25,16,71,san-francisco-49ers,Ohio State
Willie McCray,DE,25,16,71,san-francisco-49ers,Troy State
Rufus Crawford,RB,23,16,71,seattle-seahawks,Virginia State
Doug Long,DB,23,15,71,seattle-seahawks,Whitworth
Tom Mullen,OG,26,7,71,st-louis-cardinals,Southwest Missouri State
Mike Kirkland,QB,24,16,70,baltimore-colts,Arkansas
Bill Troup,QB,27,12,70,baltimore-colts,South Carolina
Maurice Harvey,DB,22,16,70,denver-broncos,Ball State
Ted Burgmeier,DB,22,8,70,kansas-city-chiefs,Notre Dame
Clyde Powers,DB,27,1,70,kansas-city-chiefs,Oklahoma
John Alexander,DE,22,8,70,miami-dolphins,Rutgers
Greg Schaum,DE,24,14,70,new-england-patriots,Michigan State
Mike Mock,LB,23,15,70,new-york-jets,Texas Tech
Bruce Stephens,WR,22,6,70,new-york-jets,Columbia
Rick Engles,P,24,6,70,philadelphia-eagles,Tulsa
Bill Larson,TE,25,5,70,philadelphia-eagles,Colorado State
Charles Williams,DB,25,7,70,philadelphia-eagles,Jackson State
Randy Reutershan,WR,23,11,70,pittsburgh-steelers,Pittsburgh
Rickey Anderson,RB,25,16,70,san-diego-chargers,South Carolina State
Scott Bull,QB,25,16,70,san-francisco-49ers,Arkansas
Bob Jury,DB,23,15,70,san-francisco-49ers,Pittsburgh
Elliott Walker,RB,22,9,70,san-francisco-49ers,Pittsburgh
Jerry Anderson,DB,25,2,70,tampa-bay-buccaneers,Oklahoma
Garth Ten Napel,LB,24,1,69,atlanta-falcons,Texas A&M
James Wright,TE,22,15,69,atlanta-falcons,Texas Christian
Tom Ehlers,LB,26,8,69,buffalo-bills,Kentucky
Randy McClanahan,LB,23,16,69,buffalo-bills,Southwestern Louisiana
Tom Sullivan,RB,28,4,69,cleveland-browns,Miami
Leo Tierney,C,24,7,69,new-york-giants,Georgia Tech
Steve Schindler,OG,24,14,69,denver-broncos,Boston College
Bobby Douglass,QB,31,12,69,green-bay-packers,Kansas
Rick Nuzum,C,26,16,69,green-bay-packers,Kentucky
Jimmy Dean,DE,23,3,69,houston-oilers,Texas A&M
Greg Sampson,OT,28,16,69,houston-oilers,Stanford
Bill Kellar,WR,22,5,69,kansas-city-chiefs,Stanford
Ray Milo,DB,24,1,69,kansas-city-chiefs,New Mexico State
Clarence Sanders,LB,25,16,69,kansas-city-chiefs,Cincinnati
John Leypoldt,K,32,3,69,new-orleans-saints,Northern Virginia CC
Mark Meseroll,OT,23,16,69,new-orleans-saints,Florida State
Tom Luken,OG,28,16,69,philadelphia-eagles,Purdue
Oren Middlebrook,WR,25,16,69,philadelphia-eagles,Arkansas State
Rick Middleton,LB,26,12,69,san-diego-chargers,Ohio State
Gordon Bell,RB,24,6,69,st-louis-cardinals,Michigan
Mike Boryla,QB,27,1,69,tampa-bay-buccaneers,Stanford
Gary Huff,QB,27,6,69,tampa-bay-buccaneers,Florida State
Mike Esposito,RB,25,16,68,atlanta-falcons,Boston College
Marv Montgomery,OT,30,1,68,atlanta-falcons,Southern California
Mario Celotto,LB,22,4,68,buffalo-bills,Southern California
Mekeli Ieremia,DT,24,2,68,buffalo-bills,Brigham Young
Lionel Antoine,OT,28,9,68,chicago-bears,Southern Illinois
Greg Fairchild,OG,24,2,68,cleveland-browns,Tulsa
Tom London,DB,24,15,68,cleveland-browns,North Carolina State
Dan Dickel,LB,26,4,68,detroit-lions,Iowa
Terry Anderson,WR,23,14,68,washington-redskins,Bethune-Cookman
Paul Harris,LB,23,6,68,tampa-bay-buccaneers,Alabama
James McAlister,RB,27,16,68,new-england-patriots,UCLA
Kevin Bell,WR,23,9,68,new-york-jets,Lamar
Darnell Powell,RB,24,14,68,new-york-jets,Tennessee-Chattanooga
Larry Riley,DB,23,4,68,new-york-jets,Salem (NC)
Herb Lusk,RB,25,3,68,philadelphia-eagles,Long Beach State
Buddy Hardaway,OT,23,12,68,san-diego-chargers,Oklahoma State
Lon Boyett,TE,24,3,68,san-francisco-49ers,Cal State-Northridge
Kurt Schumacher,OG,25,4,68,tampa-bay-buccaneers,Ohio State
Marshall Johnson,WR,26,15,67,baltimore-colts,Houston
Bill Adams,OG,28,6,67,buffalo-bills,Holy Cross
Doug Becker,LB,22,9,67,buffalo-bills,Notre Dame
Mike Franckowiak,RB,25,16,67,buffalo-bills,Central Michigan
Dave Mays,QB,29,1,67,buffalo-bills,Texas Southern
Mike Morgan,RB,22,5,67,chicago-bears,Wisconsin
Anthony Davis,RB,26,4,67,houston-oilers,Southern California
Bob Simpson,DE,24,5,67,miami-dolphins,Colorado
Kevin Hunt,OT,29,10,67,new-orleans-saints,Doane
Harold Hart,RB,26,7,67,oakland-raiders,Texas Southern
Charles Aiu,OG,24,7,67,san-diego-chargers,Hawaii
Mike Baldassin,LB,23,16,67,san-francisco-49ers,Washington
Wonder Monds,DB,26,16,67,san-francisco-49ers,Nebraska
Stu O'Dell,LB,26,14,66,baltimore-colts,Indiana
Dennis Sproul,QB,22,6,66,green-bay-packers,Arizona State
Alvin Maxson,RB,26,8,66,pittsburgh-steelers,Southern Methodist
Lewis Gilbert,TE,22,4,65,atlanta-falcons,Florida
Ron Hunt,OT,23,3,65,cincinnati-bengals,Oregon
Gary Anderson,OG,23,3,65,new-orleans-saints,Stanford
Willie Brock,C,23,4,65,detroit-lions,Colorado
Ernest Pough,WR,26,12,65,new-york-giants,Texas Southern
James Betterson,RB,24,9,65,philadelphia-eagles,North Carolina
Steve Knutson,OG,27,15,65,san-francisco-49ers,Southern California
Tommy Southard,WR,23,2,65,st-louis-cardinals,Furman
Dennis Law,WR,23,14,64,cincinnati-bengals,East Tennessee State
Larry Collins,RB,23,15,64,cleveland-browns,Texas A&M-Kingsville
Bob Moore,TE,29,8,64,denver-broncos,Stanford
Dean Moore,LB,23,16,64,san-francisco-49ers,Iowa
Jack Steptoe,WR,22,6,64,san-francisco-49ers,Utah
Calvin O'Neal,LB,24,15,63,baltimore-colts,Michigan
Rob Hertel,QB,23,3,63,cincinnati-bengals,Southern California
Dan Gray,DT,22,14,63,detroit-lions,Rutgers
Larry Mallory,DB,26,16,63,new-york-giants,Tennessee State
James Thompson,WR,25,13,63,new-york-giants,Memphis
Reggie Grant,DB,23,14,63,new-york-jets,Oregon
Errol Mann,K,37,16,63,oakland-raiders,North Dakota
Lindsey Mason,OT,23,16,63,oakland-raiders,Kansas
Bruce Threadgill,DB,22,14,63,san-francisco-49ers,Mississippi State
Kyle Davis,C,26,7,62,san-francisco-49ers,Oklahoma
Randy Johnson,OG,25,10,62,tampa-bay-buccaneers,Georgia
Jeff Winans,DE,27,1,62,tampa-bay-buccaneers,Southern California
George Franklin,RB,24,15,61,atlanta-falcons,Texas A&M-Kingsville
Joe Moreino,DT,23,1,61,new-york-jets,Idaho State
Tom DePaso,LB,22,12,60,cincinnati-bengals,Penn State
John Schuhmacher,OG,23,11,60,houston-oilers,Southern California
Jim Harlan,OT,24,14,60,washington-redskins,Howard Payne
Mark Iwanowski,TE,23,5,59,new-york-jets,Pennsylvania
Blake Whitlatch,LB,23,4,59,new-york-jets,Louisiana State
Charlie White,RB,25,7,56,tampa-bay-buccaneers,Bethune-Cookman
Mark Kellar,RB,26,16,55,minnesota-vikings,Northern Illinois
Robert Watts,LB,24,2,55,oakland-raiders,Boston College
Jim Earley,RB,22,2,51,new-york-jets,Michigan State
John Sokolosky,C,22,11,48,detroit-lions,Wayne State (MI)
Ken Moore,TE,24,6,,atlanta-falcons,Northern Illinois
Elbert Drungo,OT,35,13,,buffalo-bills,Tennessee State
Marvin Switzer,DB,24,10,,buffalo-bills,Kansas State
Jon Morris,C,36,10,,chicago-bears,Holy Cross
Leo Biedermann,OT,23,16,,cleveland-browns,California
Jethro Pugh,DT,34,13,,dallas-cowboys,Elizabeth City State
Jackie Smith,TE,38,12,,dallas-cowboys,Northwestern State
Bobby Maples,C,35,16,,denver-broncos,Baylor
Paul Naumoff,LB,33,15,,detroit-lions,Tennessee
Frank Chesley,LB,23,1,,green-bay-packers,Wyoming
Danny Johnson,LB,23,3,,green-bay-packers,Tennessee State
Willie Taylor,WR,22,1,,green-bay-packers,Pittsburgh
Robert Turner,RB,24,4,,houston-oilers,Oklahoma State
MacArthur Lane,RB,36,16,,kansas-city-chiefs,Utah State
Emmitt Thomas,DB,35,16,,kansas-city-chiefs,Bishop
Mel Mitchell,OG,25,4,,miami-dolphins,Tennessee State
Mick Tingelhoff,C,38,16,,minnesota-vikings,Nebraska
Mike Patrick,P,26,1,,new-england-patriots,Mississippi State
David Posey,K,22,11,,new-england-patriots,Florida
Tom Jurich,K,22,1,,new-orleans-saints,Northern Arizona
Rusty Rebowe,LB,22,1,,new-orleans-saints,Nicholls State
James Van Wagner,RB,23,5,,new-orleans-saints,Michigan Tech
Pete Banaszak,RB,34,16,,oakland-raiders,Miami
Willie Brown,DB,37,13,,oakland-raiders,Grambling
Hubert Ginn,RB,31,1,,oakland-raiders,Florida A&M
Vince Papale,WR,32,13,,philadelphia-eagles,St. Joseph's (PA)
Jim Mandich,TE,30,10,,pittsburgh-steelers,Michigan
Pat Curran,TE,33,14,,san-diego-chargers,Lakeland
Norm Evans,OT,36,13,,seattle-seahawks,Texas Christian
Warren Anderson,WR,23,2,,st-louis-cardinals,West Virginia State
Jim Bakken,K,37,16,,st-louis-cardinals,Wisconsin
