season,league,source_file,teams,players,league_size,share,block_is,already_published,identifying_names,franchises
1984,USFL,Mike-USFL_WFL,18,926,18,100%,full league,,"John Corker, Anthony Carter, Ray Bentley",Arizona Wranglers; Birmingham Stallions; Chicago Blitz; Denver Gold; Houston Gamblers; Jacksonville Bulls; Los Angeles Express; Memphis Showboats; Michigan Panthers; New Jersey Generals; New Orleans Breakers; Oakland Invaders; Oklahoma Outlaws; Philadelphia Stars; Pittsburgh Maulers; San Antonio Gunslingers; Tampa Bay Bandits; Washington Federals
1985,NFL,Mike-NFL1980-1989,7,339,28,25%,notable teams,,"Mike Lansford, Kent Hill, Jackie Slater",Chicago Bears; Dallas Cowboys; Los Angeles Raiders; Los Angeles Rams; Miami Dolphins; New England Patriots; New York Jets
1985,NFL,MuscleMike-LM67,6,290,28,21%,notable teams,,"Richard Dent, Mike Singletary, Jim Covert",Chicago Bears; Dallas Cowboys; Los Angeles Raiders; Miami Dolphins; New England Patriots; New York Jets
1986,NFL,Mike-NFL1980-1989,3,144,28,11%,notable teams,yes,"Kevin Mack, Jeff Gossett, Ozzie Newsome",Cleveland Browns; Denver Broncos; New York Giants
1986,NFL,MuscleMike-LM67,3,144,28,11%,notable teams,yes,"Mark Moseley, Kevin Mack, Jeff Gossett",Cleveland Browns; Denver Broncos; New York Giants
1987,NFL,Mike-NFL1980-1989,7,349,28,25%,notable teams,,"Norm Johnson, John L. Williams, Steve Largent",Cleveland Browns; Denver Broncos; Indianapolis Colts; Minnesota Vikings; New Orleans Saints; Seattle Seahawks; Washington Redskins
1987,NFL,MuscleMike-LM67,4,194,28,14%,notable teams,,"Kevin Mack, Jeff Gossett, Ozzie Newsome",Cleveland Browns; Denver Broncos; New Orleans Saints; Washington Redskins
1987,NFL,Mike-NFL1970-1974,1,51,28,4%,notable teams,,"Rohn Stark, Dean Biasucci, Chris Hinton",Indianapolis Colts
1987,NFL,Mike-NFL1975-1979,1,50,28,4%,notable teams,,"Charles Mann, Dave Butz, Steve Cox",Washington Redskins
1988,NFL,Mike-NFL1980-1989,4,191,28,14%,notable teams,,"Steve McMichael, Richard Dent, Mike Singletary",Chicago Bears; Cincinnati Bengals; Houston Oilers; San Francisco 49ers
1988,NFL,MuscleMike-LM67,4,192,28,14%,notable teams,,"Mike Singletary, Steve McMichael, Richard Dent",Chicago Bears; Cincinnati Bengals; Houston Oilers; San Francisco 49ers
1989,NFL,Mike-NFL1980-1989,4,198,28,14%,notable teams,,"Randall McDaniel, Rich Karlis, Kirk Lowdermilk",Denver Broncos; Los Angeles Rams; Minnesota Vikings; San Francisco 49ers
1989,NFL,MuscleMike-LM67,2,96,28,7%,notable teams,,"Greg Kragen, David Treadwell, Mike Horan",Denver Broncos; San Francisco 49ers
