season,team,w,l,t,pf,pa,pf_rank,pa_rank,n_teams
1965,San Diego Chargers,9,2,3,340,227,7,3,22
1965,Oakland Raiders,8,5,1,298,239,14,4,22
1965,Kansas City Chiefs,7,5,2,322,285,9,8,22
1965,Denver Broncos,4,10,0,303,392,12,18,22
1965,Cleveland Browns,11,3,0,363,325,5,14,22
1965,Dallas Cowboys,7,7,0,325,280,8,6,22
1965,New York Giants,7,7,0,270,338,17,16,22
1965,Washington Redskins,6,8,0,257,301,19,10,22
1965,Philadelphia Eagles,5,9,0,363,359,6,17,22
1965,St. Louis Cardinals,5,9,0,296,309,15,13,22
1965,Pittsburgh Steelers,2,12,0,202,397,22,19,22
1965,Green Bay Packers,10,3,1,316,224,10,1,22
1965,Baltimore Colts,10,3,1,389,284,3,7,22
1965,Chicago Bears,9,5,0,409,275,2,5,22
1965,San Francisco 49ers,7,6,1,421,402,1,20,22
1965,Minnesota Vikings,7,7,0,383,403,4,21,22
1965,Detroit Lions,6,7,1,257,295,20,9,22
1965,Los Angeles Rams,4,10,0,269,328,18,15,22
1966,Buffalo Bills,9,4,1,358,255,4,5,24
1966,Boston Patriots,8,4,2,315,283,13,10,24
1966,New York Jets,6,6,2,322,312,10,14,24
1966,Houston Oilers,3,11,0,335,396,6,22,24
1966,Miami Dolphins,3,11,0,213,362,21,20,24
1966,Kansas City Chiefs,11,2,1,448,276,1,9,24
1966,Oakland Raiders,8,5,1,315,288,14,12,24
1966,San Diego Chargers,7,6,1,335,284,7,11,24
1966,Denver Broncos,4,10,0,196,381,24,21,24
1966,Dallas Cowboys,10,3,1,445,239,2,4,24
1966,Cleveland Browns,9,5,0,403,259,3,6,24
1966,Philadelphia Eagles,9,5,0,326,340,9,17,24
1966,St. Louis Cardinals,8,5,1,264,265,18,7,24
1966,Washington Redskins,7,7,0,351,355,5,19,24
1966,Pittsburgh Steelers,5,8,1,316,347,12,18,24
1966,Atlanta Falcons,3,11,0,204,437,23,23,24
1966,New York Giants,1,12,1,263,501,19,24,24
1966,Green Bay Packers,12,2,0,335,163,8,1,24
1966,Baltimore Colts,9,5,0,314,226,15,3,24
1966,Los Angeles Rams,8,6,0,289,212,17,2,24
1966,San Francisco 49ers,6,6,2,320,325,11,16,24
1966,Chicago Bears,5,7,2,234,272,20,8,24
1966,Detroit Lions,4,9,1,206,317,22,15,24
1966,Minnesota Vikings,4,9,1,292,304,16,13,24
1967,Houston Oilers,9,4,1,258,199,18,3,25
1967,New York Jets,8,5,1,371,329,5,14,25
1967,Buffalo Bills,4,10,0,237,285,21,10,25
1967,Miami Dolphins,4,10,0,219,407,24,22,25
1967,Boston Patriots,3,10,1,280,389,15,21,25
1967,Oakland Raiders,13,1,0,468,233,1,6,25
1967,Kansas City Chiefs,9,5,0,408,254,2,7,25
1967,San Diego Chargers,8,5,1,360,352,7,16,25
1967,Denver Broncos,3,11,0,256,409,19,23,25
1967,Dallas Cowboys,9,5,0,342,268,10,9,25
1967,Philadelphia Eagles,6,7,1,351,409,8,24,25
1967,Washington Redskins,5,6,3,347,353,9,17,25
1967,New Orleans Saints,3,11,0,233,379,22,19,25
1967,Green Bay Packers,9,4,1,332,209,13,4,25
1967,Chicago Bears,7,6,1,239,218,20,5,25
1967,Detroit Lions,5,7,2,260,259,17,8,25
1967,Minnesota Vikings,3,8,3,233,294,23,11,25
1967,Cleveland Browns,9,5,0,334,297,11,12,25
1967,New York Giants,7,7,0,369,379,6,20,25
1967,St. Louis Cardinals,6,7,1,333,356,12,18,25
1967,Pittsburgh Steelers,4,9,1,281,320,14,13,25
1967,Los Angeles Rams,11,1,2,398,196,3,1,25
1967,Baltimore Colts,11,1,2,394,198,4,2,25
1967,San Francisco 49ers,7,7,0,273,337,16,15,25
1967,Atlanta Falcons,1,12,1,175,422,25,25,25
1968,New York Jets,11,3,0,419,280,3,11,26
1968,Houston Oilers,7,7,0,303,248,10,9,26
1968,Miami Dolphins,5,8,1,276,355,15,20,26
1968,Boston Patriots,4,10,0,229,406,21,26,26
1968,Buffalo Bills,1,12,1,199,367,25,22,26
1968,Oakland Raiders,12,2,0,453,233,1,6,26
1968,Kansas City Chiefs,12,2,0,371,170,7,2,26
1968,San Diego Chargers,9,5,0,382,310,6,13,26
1968,Denver Broncos,5,9,0,275,404,16,25,26
1968,Cincinnati Bengals,3,11,0,215,329,22,17,26
1968,Dallas Cowboys,12,2,0,431,186,2,3,26
1968,New York Giants,7,7,0,294,325,12,15,26
1968,Washington Redskins,5,9,0,249,358,18,21,26
1968,Philadelphia Eagles,2,12,0,202,351,24,19,26
1968,Minnesota Vikings,8,6,0,282,242,13,8,26
1968,Chicago Bears,7,7,0,250,333,17,18,26
1968,Green Bay Packers,6,7,1,281,227,14,5,26
1968,Detroit Lions,4,8,2,207,241,23,7,26
1968,Cleveland Browns,10,4,0,394,273,5,10,26
1968,St. Louis Cardinals,9,4,1,325,289,8,12,26
1968,New Orleans Saints,4,9,1,246,327,19,16,26
1968,Pittsburgh Steelers,2,11,1,244,397,20,24,26
1968,Baltimore Colts,13,1,0,402,144,4,1,26
1968,Los Angeles Rams,10,3,1,312,200,9,4,26
1968,San Francisco 49ers,7,6,1,303,310,11,14,26
1968,Atlanta Falcons,2,12,0,170,389,26,23,26
1969,New York Jets,10,4,0,353,269,5,10,26
1969,Houston Oilers,6,6,2,278,279,16,12,26
1969,Boston Patriots,4,10,0,266,316,20,15,26
1969,Buffalo Bills,4,10,0,230,359,24,21,26
1969,Miami Dolphins,3,10,1,233,332,23,18,26
1969,Oakland Raiders,12,1,1,377,242,2,6,26
1969,Kansas City Chiefs,11,3,0,359,177,4,2,26
1969,San Diego Chargers,8,6,0,288,276,12,11,26
1969,Denver Broncos,5,8,1,297,344,11,20,26
1969,Cincinnati Bengals,4,9,1,280,367,13,22,26
