year,identifier,league_wide,restricted,title
1951,cardinals-1951,False,,Chicago Cardinals 1951 Media Guide Cover
1951,cleveland-browns-1951-media-guide-cover-front,False,,Cleveland Browns 1951 Media Guide
1951,giants-1951-media-guide-new-york-c,False,,New York Giants 1951 Media Guide
1951,lions-1951,False,,Detroit Lions 1951 Media Guide
1951,packers-1951,False,,Green Bay Packers 1951 Media Guide
1951,philadelphia-eagles-1951-yearbook-cover,False,,Philadelphia Eagles 1951 Yearbook Cover
1951,rams-1951,False,,Los Angeles Rams 1951 Media Guide Cover
1951,redskins-1951-media-guide-washington-b,False,,Washington Redskins 1951 Media Guide
1951,steelers-1951,False,,Pittsburgh Steelers 1951 Media Guide Cover
1951,yanks-1951-media-guide-new-york-c,False,,New York Yanks 1951 Media Guide
1952,49ers-1952,False,,San Francisco 49ers 1952 Media Guide
1952,bears-1952-media-guide-chicago,False,,Chicago Bears 1952 Media Guide
1952,cardinals-1952,False,,Chicago Cardinals 1952 Media Guide Cover
1952,cleveland-browns-1952-media-guide-cover-front,False,,Cleveland Browns 1952 Media Guide Cover
1952,dallas-texans-1952-media-guide-cover,False,,Dallas Texans 1952 Media Guide Cover
1952,eagles-1952-media-guide-philadelphia-c,False,,Philadelphia Eagles 1952 Yearbook
1952,giants-1952-media-guide-new-york-cbd,False,,New York Giants 1952 Media Guide
1952,green-bay-packers-1952-media-guide-cover,False,,Green Bay Packers 1952 Media Guide
1952,lions-1952,False,,Detroit Lions 1952 Media Guide
1952,rams-1952,False,,Los Angeles Rams 1952 Media Guide Cover
1952,redskins-1952-media-guide-washington,False,,Washington Redskins 1952 Media Guide
1952,steelers-1952,False,,Pittsburgh Steelers 1952 Media Guide
1953,49ers-1953,False,,San Francisco 49ers 1953 Media Guide
1953,bears-1953-media-guide-chicago,False,,Chicago Bears 1953 Media Guide
1953,cardinals-1953-media-guide-chicago-c,False,,Chicago Cardinals 1953 Media Guide
1953,cleveland-browns-1953-media-guide-cover-front,False,,Cleveland Browns 1953 Media Guide
1953,colts-1953-media-guide-baltimore,False,,Baltimore Colts 1953 Media Guide
1953,giants-1953-media-guide-new-york-cbd,False,,New York Giants 1953 Media Guide
1953,lions-1953,False,,Detroit Lions 1953 Media Guide Cover
1953,packers-1953,False,,Green Bay Packers 1953 Media Guide Cover
1953,philadelphia-eagles-1953-yearbook-cv-4,False,,Philadelphia Eagles 1953 Yearbook
1953,rams-1953,False,,Los Angeles Rams 1953 Media Guide
1953,redskins-1953-media-guide-washington-cbd,False,,Washington Redskins 1953 Media Guide
1953,steelers-1953,False,,Pittsburgh Steelers 1953 Media Guide
1954,49ers-1954,False,,San Francisco 49ers 1954 Media Guide
1954,bears-1954,False,,Chicago Bears 1954 Media Guide
1954,cardinals-1954-media-guide-chicago-c,False,,Chicago Cardinals 1954 Media Guide
1954,cleveland-browns-1954-media-guide-cover-front,False,,Cleveland Browns 1954 Media Guide
1954,colts-1954-media-guide-baltimore,False,,Baltimore Colts 1954 Media Guide
1954,eagles-1954-yearbook-philadelphia-c,False,,Philadelphia Eagles 1954 Yearbook
1954,giants-1954-media-guide-new-york-cbd,False,,New York Giants 1954 Media Guide
1954,lions-1954,False,,Detroit Lions 1954 Media Guide Cover
1954,packers-1954,False,,Green Bay Packers 1954 Media Guide
1954,rams-1954,False,,Los Angeles Rams 1954 Media Guide
1954,redskins-1964-media-guide-washington-c,False,,Washington Redskins 1954 Media Guide
1954,steelers-1954,False,,Pittsburgh Steelers 1954 Media Guide
1955,49ers-1955,False,,San Francisco 49ers 1955 Media Guide
1955,bears-1955-media-guide-chicago-b,False,,Chicago Bears 1955 Media Guide
1955,cardinals-1955-media-guide-st.-louis-c,False,,Chicago Cardinals 1955 Media Guide
1955,cleveland-browns-1955-media-guide-cover-rear,False,,Cleveland Browns 1955 Media Guide
1955,colts-1955-media-guide-baltimore,False,,Baltimore Colts 1955 Media Guide
1955,eagles-1955-media-guide-philadelphia-c,False,,Philadelphia Eagles 1955 Yearbook
1955,giants-1955-media-guide-new-york-cbd,False,,New York Giants 1955 Media Guide
1955,lions-1955-best,False,,Detroit Lions 1955 Media Guide
1955,packers-1955,False,,Green Bay Packers 1955 Media Guide
1955,rams-1955,False,,Los Angeles Rams 1955 Media Guide
1955,redskins-1955-media-guide-washington-b,False,,Washington Redskins 1955 Media Guide
1955,steelers-1955,False,,Pittsburgh Steelers 1955 Media Guide
1956,49ers-1956,False,,San Francisco 49ers 1956 Media Guide
1956,bears-1956-media-guide-chicago,False,,Chicago Bears 1956 Media Guide
1956,browns-1956-media-guide-cleveland-c,False,,Cleveland Browns 1956 Media Guide
1956,cardinals-1956-media-guide-st.-louis-c,False,,Chicago Cardinals 1956 Media Guide
1956,colts-1956-media-guide-baltimore,False,,Baltimore Colts 1956 Media Guide
1956,giants-1956-media-guide-new-york-cbd,False,,New York Giants 1956 Media Guide
1956,green-bay-packers-1956-media-guide-cover,False,,Green Bay Packers 1956 Media Guide
1956,lions-1956,False,,Detroit Lions 1956 Media Guide
1956,rams-1956,False,,Los Angeles Rams 1956 Media Guide
1956,redskins-1956-media-guide-washington-cbd,False,,Washington Redskins 1956 Media Guide
1956,steelers-1956-media-guide-pittsburgh,False,,Pittsburgh Steelers 1956 Media Guide
1957,49ers-1957,False,,San Francisco 49ers 1957 Media Guide
1957,bears-1957-media-guide-chicago-a,False,,Chicago Bears 1957 Media Guide
1957,cardinals-1957,False,,Chicago Cardinals 1957 Media Guide Cover
1957,cleveland-browns-1957-media-guide-cover-front,False,,Cleveland Browns 1957 Media Guide Cover
1957,colts-1957-media-guide-baltimore,False,,Baltimore Colts 1957 Media Guide
1957,giants-1957-media-guide-new-york-a,False,,New York Giants 1957 Media Guide
1957,lions-1957,False,,Detroit Lions 1957 Media Guide
1957,packers-1957-media-guide-green-bay-c,False,,Green Bay Packers 1957 Media Guide
1957,philadelphia-eagles-1957-yearbook-cover,False,,Philadelphia Eagles 1957 Yearbook Cover
1957,rams-1957,False,,Los Angeles Rams 1957 Media Guide
1957,redskins-1957-media-guide-washington-b,False,,Washington Redskins 1957 Media Guide
1957,steelers-1957,False,,Pittsburgh Steelers 1957 Media Guide Cover
1958,bears-1958-media-guide-chicago-c,False,,Chicago Bears 1958 Media Guide
1958,cardinals-1958,False,,Chicago Cardinals 1958 Media Guide Cover
1958,cleveland-browns-1958-media-guide-cover-front,False,,Cleveland Browns 1958 Media Guide Cover
1958,colts-1958-media-guide-baltimore,False,,Baltimore Colts 1958 Media Guide
1958,lions-1958,False,,Detroit Lions 1958 Media Guide Cover
1958,new-york-giants-1958-media-guide-cover,False,,New York Giants 1958 Media Guide Cover
1958,packers-1958,False,,Green Bay Packers 1958 Media Guide
1958,rams-1958,False,,Los Angeles Rams 1958 Media Guide
1958,redskins-1958-media-guide-washington-a,False,,Washington Redskins 1958 Media Guide
1958,steelers-1958,False,,Pittsburgh Steelers 1958 Media Guide Cover
1959,49ers-1959,False,,San Francisco 49ers 1959 Media Guide
1959,bears-1959-media-guide-chicago-b,False,,Chicago Bears 1959 Media Guide
1959,cardinals-1959,False,,Chicago Cardinals 1959 Media Guide Cover
1959,cleveland-browns-1959-media-guide-cover,False,,Cleveland Browns 1959 Media Guide Cover
1959,colts-1959-media-guide-baltimore,False,,Baltimore Colts 1959 Media Guide
1959,giants-1959-media-guide-new-york-cbd,False,,New York Giants 1959 Media Guide
1959,lions-1959,False,,Detroit Lions 1959 Media Guide Cover
1959,packers-1959,False,,Green Bay Packers 1959 Media Guide Cover
1959,philadelphia-eagles-1959-yearbook-cover-front,False,,Philadelphia Eagles 1959 Yearbook Cover
1959,rams-1959,False,,Los Angeles Rams 1959 Media Guide
1959,redskins-1959-media-guide-washington-cbd,False,,Washington Redskins 1959 Media Guide
1959,steelers-1959,False,,Pittsburgh Steelers 1959 Media Guide Cover
1960,49ers-1960,False,,San Francisco 49ers 1960 Media Guide
1960,bears-1960,False,,Chicago Bears 1960 Media Guide
1960,bills-1960-media-guide-buffalo-c,False,,Buffalo Bills 1960 Media Guide
1960,broncos-1960-media-guide-denver,False,,Denver Broncos 1960 Media Guide
1960,browns-1960,False,,Cleveland Browns 1960 Media Guide Cover
1960,cardinals-1960,False,,St. Louis Cardinals 1960 Media Guide Cover
1960,chargers-1960,False,,Los Angeles Chargers 1960 Media Guide Cover
1960,chiefs-1960-media-guide-dallas-texans-c,False,,Dallas Texans 1960 Media Guide
1960,colts-1960-media-guide-baltimore,False,,Baltimore Colts 1960 Media Guide
1960,cowboys-1960-media-guide-dallas,False,,Dallas Cowboys 1960 Media Guide
1960,giants-1960-media-guide-new-york-cbd,False,,New York Giants 1960 Media Guide
1960,jets-1960,False,,New York Titans 1960 Media Guide Cover
1960,lions-1960,False,,Detroit Lions 1960 Media Guide
1960,oilers-1960-media-guide-houston-c,False,,Houston Oilers 1960 Media Guide
1960,patriots-1960-media-guide-boston-b,False,,Boston Patriots 1960 Media Guide
1960,philadelphia-eagles-1960-yearbook-cover,False,,Philadelphia Eagles 1960 Yearbook Cover
1960,raiders-1960,False,,Oakland Raiders 1960 Media Guide
1960,rams-1960,False,,Los Angeles Rams 1960 Media Guide
1960,redskins-1960-media-guide-washington-cbd,False,,Washington Redskins 1960 Media Guide
1960,steelers-1960,False,,Pittsburgh Steelers 1960 Media Guide Cover
1961,49ers-1961,False,,San Francisco 49ers 1961 Media Guide
1961,broncos-1961-media-guide-denver,False,,Denver Broncos 1961 Media Guide
1961,browns-1961,False,,Cleveland Browns 1961 Media Guide
1961,buffalo-bills-1961-media-guide-cover,False,,Buffalo Bills 1961 Media Guide Cover
1961,cardinals-1961,False,,St. Louis Cardinals 1961 Media Guide
1961,chargers-1961,False,,San Diego Chargers 1961 Media Guide Cover
1961,chiefs-1961-media-guide-dallas-texans-c,False,,Dallas Texans 1961 Media Guide
1961,colts-1961-media-guide-baltimore,False,,Baltimore Colts 1961 Media Guide
1961,cowboys-1961-media-guide-dallas,False,,Dallas Cowboys 1961 Media Guide
1961,giants-1961-media-guide-new-york-cbd,False,,New York Giants 1961 Media Guide
1961,green-bay-packers-media-guide-1961-cover,False,,Green Bay Packers 1961 Media Guide
1961,jets-1961,False,,New York Titans 1961 Media Guide
1961,lions-1961,False,,Detroit Lions 1961 Media Guide
1961,oilers-1961-media-guide-houston-c,False,,Houston Oilers 1961 Media Guide
1961,patriots-1961-media-guide-boston-b,False,,Boston Patriots 1961 Media Guide
1961,philadelphia-eagles-1961-media-guide-cover,False,,Philadelphia Eagles 1961 Media Guide
1961,raiders-1961-media-guide-oakland-c,False,,Oakland Raiders 1961 Media Guide
1961,rams-1961,False,,Los Angeles Rams 1961 Media Guide
1961,redskins-1961-media-guide-washington-cbd,False,,Washington Redskins 1961 Media Guide
1961,steelers-1961,False,,Pittsburgh Steelers 1961 Media Guide
1961,vikings-1961,False,,Minnesota Vikings 1961 Media Guide Cover
1962,49ers-1962,False,,San Francisco 49ers 1962 Media Guide
1962,bears-1962-media-guide-chicago,False,,Chicago Bears 1962 Media Guide
1962,broncos-1962-media-guide-denver,False,,Denver Broncos 1962 Media Guide
1962,browns-1962-media-guide-cleveland-c,False,,Cleveland Browns 1962 Media Guide
1962,buffalo-bills-1962-media-guide-cover,False,,Buffalo Bills 1962 Media Guide Cover
1962,cardinals-1962-media-guide-st.-louis-c,False,,St. Louis Cardinals 1962 Media Guide
1962,chargers-1962,False,,San Diego Chargers 1962 Media Guide Cover
1962,chiefs-1962-dallas-texans,False,,Dallas Texans 1962 Media Guide
1962,colts-1962-media-guide-baltimore,False,,Baltimore Colts 1962 Media Guide
1962,cowboys-1962-media-guide-dallas,False,,Dallas Cowboys 1962 Media Guide
1962,giants-1962-media-guide-new-york-cbd,False,,New York Giants 1962 Media Guide
1962,green-bay-packers-media-guide-1962-cover-front,False,,Green Bay Packers 1962 Media Guide
1962,houston-oilers-1962-media-guide-cover,False,,Houston Oilers 1962 Media Guide Cover
1962,lions-1962,False,,Detroit Lions 1962 Media Guide Cover
1962,philadelphia-eagles-1962-media-guide-cover,False,,Philadelphia Eagles 1962 Media Guide Cover
1962,rams-1962,False,,Los Angeles Rams 1962 Media Guide Cover
1962,redskins-1962-media-guide-washington-cbd,False,,Washington Redskins 1962 Media Guide
1962,steelers-1962,False,,Pittsburgh Steelers 1962 Media Guide Cover
1962,vikings-1962,False,,Minnesota Vikings 1962 Media Guide Cover
1963,49ers-1963,False,,San Francisco 49ers 1963 Media Guide
1963,bears-1963-media-guide-chicago,False,,Chicago Bears 1963 Media Guide
1963,bills-1963-media-guide-buffalo-cbd,False,,Buffalo Bills 1963 Media Guide
1963,broncos-1963-media-guide-denver,False,,Denver Broncos 1963 Media Guide
1963,browns-1963,False,,Cleveland Browns 1963 Media Guide Cover
1963,cardinals-1963,False,,St. Louis Cardinals 1963 Media Guide Cover
1963,chargers-1963,False,,San Diego Chargers 1963 Media Guide Cover
1963,colts-1963-media-guide-baltimore,False,,Baltimore Colts 1963 Media Guide
1963,cowboys-1963-media-guide-dallas,False,,Dallas Cowboys 1963 Media Guide
1963,giants-1963-media-guide-new-york-cbd,False,,New York Giants 1963 Media Guide
1963,houston-oilers-1963-media-guide-cover,False,,Houston Oilers 1963 Media Guide Cover
1963,jets-1963,False,,New York Jets 1963 Media Guide Cover
1963,kansas-city-chiefs-1963-media-guide-cover,False,,Kansas City Chiefs 1963 Media Guide Cover
1963,lions-1963,False,,Detroit Lions 1963 Media Guide
1963,packers-1963-media-guide-green-bay-c,False,,Green Bay Packers 1963 Media Guide
1963,patriots-1963-media-guide-boston-b,False,,Boston Patriots 1963 Media Guide
1963,philadelphia-eagles-1963-yearbook-cover,False,,Philadelphia Eagles 1963 Yearbook Cover
1963,rams-1963,False,,Los Angeles Rams 1963 Media Guide
1963,redskins-1963-media-guide-washington-cbd,False,,Washington Redskins 1963 Media Guide
1963,steelers-1963,False,,Pittsburgh Steelers 1963 Media Guide Cover
1963,vikings-1963,False,,Minnesota Vikings 1963 Media Guide Cover
1964,49ers-1964-media-guide-san-francisco-c,False,,San Francisco 49ers 1964 Media Guide
1964,bears-1964-media-guide-chicago-c,False,,Chicago Bears 1964 Media Guide
1964,bills-1964-media-guide-buffalo-cbd,False,,Buffalo Bills 1964 Media Guide
1964,broncos-1964-media-guide-denver,False,,Denver Broncos 1964 Media Guide
1964,browns-1964,False,,Cleveland Browns 1964 Media Guide Cover
1964,cardinals-1964,False,,St. Louis Cardinals 1964 Media Guide Cover
1964,chargers-1964,False,,San Diego Chargers 1964 Media Guide Cover
1964,colts-1964-media-guide-baltimore,False,,Baltimore Colts 1964 Media Guide
1964,cowboys-1964-media-guide-dallas,False,,Dallas Cowboys 1964 Media Guide
1964,giants-1964-media-guide-new-york-c,False,,New York Giants 1964 Media Guide
1964,houston-oilers-1964-media-guide-cover,False,,Houston Oilers 1964 Media Guide Cover
1964,jets-1964,False,,New York Jets 1964 Media Guide Cover
1964,lions-1964-media-guide-detroit-c,False,,Detroit Lions 1964 Media Guide
1964,oakland-raiders-1964-media-guide-cover,False,,Oakland Raiders 1964 Media Guide Cover
1964,packers-1964,False,,Green Bay Packers 1964 Media Guide Cover
1964,patriots-1964-media-guide-boston-b,False,,Boston Patriots 1964 Media Guide
1964,philadelphia-eagles-1964-media-guide-cover-rear,False,,Philadelphia Eagles 1964 Media Guide Cover
1964,rams-1964,False,,Los Angeles Rams 1964 Media Guide Cover
1964,steelers-1964,False,,Pittsburgh Steelers 1964 Media Guide Cover
1964,vikings-1964,False,,Minnesota Vikings 1964 Media Guide Cover
1964,washington-redskins-1964-media-guide-cover,False,,Washington Redskins 1964 Media Guide Cover
1965,49ers-1965-media-guide-san-francisco-c,False,,San Francisco 49ers 1965 Media Guide
1965,bears-1965-media-guide-chicago-c,False,,Chicago Bears 1965 Media Guide
1965,broncos-1965-media-guide-denver,False,,Denver Broncos 1965 Media Guide
1965,browns-1965,False,,Cleveland Browns 1965 Media Guide
1965,buffalo-bills-1965-media-guide-cover,False,,Buffalo Bills 1965 Media Guide Cover
1965,cardinals-1965,False,,St. Louis Cardinals 1965 Media Guide Cover
1965,chargers-1965,False,,San Diego Chargers 1965 Media Guide Cover
1965,colts-1965-media-guide-baltimore,False,,Baltimore Colts 1965 Media Guide
1965,cowboys-1965-media-guide-dallas,False,,Dallas Cowboys 1965 Media Guide
1965,eagles-1965-media-guide-philadelphia-c,False,,Philadelphia Eagles 1965 Media Guide
1965,giants-1965-media-guide-new-york-c,False,,New York Giants 1965 Media Guide
1965,jets-1965,False,,New York Jets 1965 Media Guide Cover
1965,kansas-city-chiefs-1965-media-guide-cover,False,,Kansas City Chiefs 1965 Media Guide Cover
1965,lions-1965-media-guide-detroit-c,False,,Detroit Lions 1965 Media Guide
1965,oakland-raiders-1965-media-guide-cover,False,,Oakland Raiders 1965 Media Guide
1965,oilers-1965-media-guide-houston-c,False,,Houston Oilers 1965 Media Guide
1965,packers-1965-media-guide-green-bay-b,False,,Green Bay Packers 1965 Media Guide
1965,patriots-1965-media-guide-boston-b,False,,Boston Patriots 1965 Media Guide
1965,rams-1965,False,,Los Angeles Rams 1965 Media Guide Cover
1965,redskins-1965-media-guide-washington-cbd,False,,Washington Redskins 1965 Media Guide
1965,steelers-1965,False,,Pittsburgh Steelers 1965 Media Guide
1965,vikings-1965,False,,Minnesota Vikings 1965 Media Guide Cover
1966,49ers-1966,False,,San Francisco 49ers 1966 Media Guide
1966,bears-1966-media-guide-chicago,False,,Chicago Bears 1966 Media Guide
1966,broncos-1966-media-guide-denver,False,,Denver Broncos 1966 Media Guide
1966,browns-1966-media-guide-cleveland-b,False,,Cleveland Browns 1966 Media Guide
1966,buffalo-bills-1966-media-guide-cover,False,,Buffalo Bills 1966 Media Guide Cover
1966,cardinals-1966,False,,St. Louis Cardinals 1966 Media Guide Cover
1966,chargers-1966-media-guide-san-diego-c,False,,San Diego Chargers 1966 Media Guide
1966,colts-1966-media-guide-baltimore,False,,Baltimore Colts 1966 Media Guide
1966,cowboys-1966-media-guide-dallas,False,,Dallas Cowboys 1966 Media Guide
1966,dolphins-1966-media-guide-miami,False,,Miami Dolphins 1966 Media Guide
1966,dolphins-1969-media-guide-miami,False,,Miami Dolphins 1969 Media Guide
1966,falcons-1966,False,,Atlanta Falcons 1966 Media Guide
1966,giants-1966-media-guide-new-york-c,False,,New York Giants 1966 Media Guide
1966,houston-oilers-1966-media-guide-cover.jpg,False,,Houston Oilers 1966 Media Guide Cover
1966,jets-1966-media-guide-new-york-c,False,,New York Jets 1966 Media Guide
1966,kansas-city-chiefs-1966-media-guide-cover,False,,Kansas City Chiefs 1966 Media Guide Cover
1966,lions-1966-media-guide-detroit-c,False,,Detroit Lions 1966 Media Guide
1966,oakland-raiders-1966-media-guide-cover,False,,Oakland Raiders 1966 Media Guide Cover
1966,packers-1966-media-guide-green-bay,False,,Green Bay Packers 1966 Media Guide
1966,patriots-1966-media-guide-boston-b,False,,Boston Patriots 1966 Media Guide
1966,philadelphia-eagles-1966-media-guide-cover,False,,Philadelphia Eagles 1966 Media Guide Cover
1966,rams-1966-poor,False,,Los Angeles Rams 1966 Media Guide Cover
