name,miss,detail,files,ages,roles
chan gailey,16,1986 aged 34 vs 2004 aged 36,1986;2000;2004;2010;2013,1986:34;2000:48;2004:36;2010:58;2013:61,1986:Special Teams;2000:Off Co-ord;2004:Head Coach;2010:Head Coach;2013:Head Coach
mike riley,16,2000 aged 47 vs 2004 aged 67,2000;2004,2000:47;2004:67,2000:Head Coach;2004:Head Coach
terry shea,16,2004 aged 60 vs 2007 aged 47,2004;2007,2004:60;2007:47,2004:Off Co-ord;2007:Off Co-ord
ryan ficken,16,2021 aged 57 vs 2026 aged 46,2021;2026,2021:57;2026:46,2021:Special Teams;2026:Special Teams
bud carson,15,1979 aged 34 vs 1986 aged 56,1979;1986,1979:34;1986:56,1979:Def Co-ord;1986:Def Co-ord
mark michaels,15,2000 aged 51 vs 2004 aged 40,2000;2004,2000:51;2004:40,2000:Special Teams;2004:Special Teams
rod marinelli,15,2007 aged 58 vs 2010 aged 46,2007;2010;2017,2007:58;2010:46;2017:59,2007:Head Coach;2010:Def Co-ord;2017:Def Co-ord
richard smith,15,2007 aged 52 vs 2010 aged 40,2007;2010,2007:52;2010:40,2007:Def Co-ord;2010:Off Scout
david culley,15,2010 aged 40 vs 2021 aged 66,2010;2021;2026,2010:40;2021:66;2026:71,2010:Off Scout;2021:Head Coach;2026:Head Coach
joe walton,14,1979 aged 58 vs 1986 aged 51,1979;1986,1979:58;1986:51,1979:Off Co-ord;1986:Head Coach
jerry glanville,14,1979 aged 52 vs 1986 aged 45,1979;1986;2000,1979:52;1986:45;2000:59,1979:Def Co-ord;1986:Head Coach;2000:Head Coach
marty schottenheimer,14,1979 aged 50 vs 1986 aged 43,1979;1986;2004;2007;2010;2013,1979:50;1986:43;2004:61;2007:64;2010:68;2013:70,1979:Def Co-ord;1986:Head Coach;2004:Head Coach;2007:Head Coach;2010:Head Coach;2013:Head Coach
marion campbell,14,1979 aged 64 vs 1986 aged 57,1979;1986,1979:64;1986:57,1979:Def Co-ord;1986:Def Co-ord
steve crosby,13,1979 aged 42 vs 2004 aged 54,1979;2004;2007,1979:42;2004:54;2007:57,1979:Special Teams;2004:Special Teams;2007:Special Teams
dan reeves,13,2004 aged 52 vs 2010 aged 71,1986;2000;2004;2010,1986:42;2000:56;2004:52;2010:71,1986:Head Coach;2000:Head Coach;2004:Head Coach;2010:Head Coach
bruce read,13,2000 aged 51 vs 2007 aged 45,2000;2007,2000:51;2007:45,2000:Special Teams;2007:Special Teams
jim fassel,13,2000 aged 51 vs 2004 aged 42,2000;2004;2007,2000:51;2004:42;2007:58,2000:Head Coach;2004:Head Coach;2007:Head Coach
jonathan gannon,13,2010 aged 40 vs 2021 aged 38,2010;2021;2026,2010:40;2021:38;2026:43,2010:Head Scout;2021:Def Co-ord;2026:Def Co-ord
adam gase,13,2013 aged 35 vs 2017 aged 52,2013;2017;2026,2013:35;2017:52;2026:61,2013:Off Co-ord;2017:Head Coach;2026:Head Coach
ben kotwica,13,2013 aged 39 vs 2017 aged 56,2013;2017,2013:39;2017:56,2013:Special Teams;2017:Special Teams
