round,pick,team,name,pos,age,college,last_season,career_av,pro_bowls
4,96,NOR,Mike Jolly,DB,22,Michigan,1983,4,0
4,97,SEA,Terry Dion,DE,22,Oregon,1980,1,0
4,98,SFO,David Hodge,LB,,Houston,,,0
4,99,CLE,Ron Crews,NT,23,UNLV,1980,1,0
4,100,MIA,Elmer Bailey,WR,22,Minnesota,1982,1,0
4,101,SDG,Ed Luther,QB,23,San Jose St.,1984,7,0
4,102,TAM,Larry Flowers,DB,22,Texas Tech,1985,6,0
4,103,CHI,Arland Thompson,G,22,Baylor,1987,3,0
4,104,ATL,I.M. Hipp,RB,24,Nebraska,1980,0,0
4,105,DAL,Kurt Petersen,G,23,Missouri,1985,34,0
4,106,HOU,Chris Combs,TE,22,New Mexico,1981,0,0
4,107,DEN,Rick Parros,RB,22,Utah St.,1987,16,0
4,108,SDG,Bob Gregor,DB,23,Washington St.,1984,5,0
4,109,CLE,Paul McDonald,QB,22,USC,1986,16,0
4,110,PIT,Bill Hurley,DB,23,Syracuse,1983,4,0
5,111,DET,Mark Streeter,DB,,Arizona,,,0
5,112,SFO,Ken Times,NT,24,Southern,1981,0,0
5,113,CIN,Bryan Hicks,DB,23,McNeese St.,1982,13,0
5,114,KAN,Carlos Carson,WR,21,LSU,1989,51,2
5,115,KAN,Dan Pensick,DT,,Nebraska,,,0
5,116,CLE,Elvis Franks,DE,23,Morgan St.,1986,9,0
5,117,ATL,Brad Vassar,LB,,Pacific,,,0
5,118,NYG,Tony Blount,DB,21,Virginia,1980,0,0
5,119,BUF,Jeff Pyburn,DB,,Georgia,,,0
5,120,DET,Tommie Ginn,C,22,Arkansas,1981,4,0
5,121,MIN,Doug Paschal,RB,22,North Carolina,1980,1,0
5,122,MIN,Paul Jones,RB,,California,,,0
5,123,NYJ,Jim Zidd,LB,,Kansas,,,0
5,124,NWE,Doug McDougald,DE,23,Virginia Tech,1980,1,0
5,125,OAK,Kenny Lewis,RB,22,Virginia Tech,1983,1,0
5,126,OAK,John Adams,LB,,LSU,,,0
5,127,SEA,Joe Steele,RB,,Washington,,,0
5,128,OAK,William Bowens,LB,,North Alabama,,,0
5,129,BUF,Keith Lee,DB,22,Colorado St.,1985,8,0
5,130,CHI,Paul Tabor,C,23,Oklahoma,1980,1,0
5,131,DEN,Mike Harden,DB,21,Michigan,1990,54,0
5,132,SEA,Daniel Jacobs,DE,,Winston-Salem St.,,,0
5,133,DAL,Gary Hogeboom,QB,22,Central Michigan,1989,22,0
5,134,HOU,John Corker,LB,21,Oklahoma St.,1988,3,0
5,135,PHI,Nate Rivers,RB,25,South Carolina St.,1980,0,0
5,136,DEN,Laval Short,NT,21,Colorado,1981,1,0
5,137,ATL,Kenny Johnson,DB,22,Mississippi St.,1989,39,0
5,138,PIT,Craig Wolfley,G,22,Syracuse,1991,45,0
6,139,SFO,Herb Williams,DB,22,Southern,1982,2,0
6,140,DET,Chris Dieterich,T,22,North Carolina St.,1986,29,0
6,141,CIN,Jo Heath,DB,23,Pittsburgh,1987,2,0
6,142,STL,Bill Acker,NT,23,Texas,1987,6,0
6,143,GNB,Karl Swanke,T,22,Boston Col.,1986,30,0
6,144,BAL,Chris Foote,C,23,USC,1990,10,0
6,145,NYG,Scott Brunner,QB,23,Delaware,1985,17,0
6,146,ATL,Mike Davis,DB,,Colorado,,,0
6,147,KAN,Bubba Garcia,WR,22,Texas-El Paso,1981,0,0
6,148,MIN,Ray Yakavonis,NT,23,East Stroudsburg,1983,1,0
6,149,NYJ,George Visger,DT,21,Colorado,1980,0,0
6,150,NOR,Lester Boyd,LB,,Kentucky,,,0
6,151,SDG,LaRue Harrington,RB,23,Norfolk St.,1980,0,0
6,152,NYJ,Tom Schremp,DE,,Wisconsin,,,0
6,153,SEA,Mark McNeal,DE,,Idaho,,,0
6,154,RAM,Mike Guman,RB,22,Penn St.,1988,24,0
6,155,WAS,Farley Bell,LB,,Cincinnati,,,0
6,156,CHI,Mike Guess,DB,,Ohio St.,,,0
6,157,DEN,Keith Bishop,G,23,Baylor,1989,45,2
6,158,MIA,Eugene Byrd,WR,,Michigan St.,,,0
6,159,CIN,Andrew Melontree,LB,22,Baylor,1980,2,0
6,160,NWE,Preston Brown,WR,22,Vanderbilt,1984,2,0
6,161,PHI,Greg Murtha,T,23,Minnesota,1982,0,0
6,162,DAL,Timmy Newsome,RB,22,Winston-Salem St.,1988,22,0
6,163,SDG,Wayne Hamilton,LB,,Alabama,,,0
6,164,KAN,Larry Heater,RB,22,Arizona,1983,3,0
6,165,PIT,Tunch Ilkin,T,22,Indiana St.,1993,59,2
7,166,DET,Eddie Murray,K,24,Tulane,2000,44,2
7,167,CIN,Ron Simpkins,LB,22,Michigan,1988,14,0
7,168,CIN,Gary Don Johnson,DT,,Baylor,,,0
7,169,GNB,Buddy Aydelette,T,24,Alabama,1987,4,0
7,170,BAL,Wes Roberts,DE,23,TCU,1980,0,0
7,171,STL,Ben Apuna,LB,23,Arizona St.,1980,2,0
7,172,ATL,Mike Smith,WR,22,Grambling St.,1980,0,0
7,173,OAK,Malcolm Barnwell,WR,22,Virginia Union,1985,20,0
7,174,MIN,Henry Johnson,LB,22,Georgia Tech,1983,3,0
7,175,SDG,Chuck Loewen,T,23,South Dakota St.,1984,7,0
7,176,RAM,Kirk Collins,DB,22,Baylor,1983,5,0
7,177,NOR,Mike Morucci,RB,,Bloomsburg,,,0
7,178,NYJ,Bobby Batton,RB,23,UNLV,1980,0,0
7,179,NYG,Bud Hebert,DB,23,Oklahoma,1980,2,0
7,180,NWE,Tom Kearns,G,,Kentucky,,,0
7,181,NYG,Chris Linnin,DE,23,Washington,1980,1,0
7,182,HOU,Craig Bradshaw,QB,23,Utah St.,1980,0,0
7,183,CHI,Emanuel Tolbert,WR,,SMU,,,0
7,184,DEN,John Havekost,G,,Nebraska,,,0
7,185,MIA,Joe Rose,TE,23,California,1987,15,0
7,186,TAM,Jim Leonard,G,22,Santa Clara,1986,13,0
7,187,WAS,Melvin Jones,G,26,Houston,1981,6,0
7,188,PHI,Terrell Ward,DB,,San Diego St.,,,0
7,189,DAL,Lester Brown,RB,,Clemson,,,0
7,190,NYJ,Bennie Leverett,RB,,Bethune-Cookman,,,0
7,191,SDG,Stuart Dodds,P,,Montana St.,,,0
7,192,RAM,Gerry Ellis,RB,22,Missouri,1986,44,0
7,193,PIT,Nate Johnson,WR,23,Hillsdale,1980,0,0
8,194,OAK,Kenny Hill,DB,22,Yale,1989,28,0
8,195,BAL,Ken Walter,T,,Texas Tech,,,0
8,196,CIN,Mark Lyles,RB,,Florida St.,,,0
8,197,DEN,Don Coleman,WR,,Oregon,,,0
8,198,STL,Dupree Branch,DB,,Colorado St.,,,0
8,199,GNB,Tim Smith,DB,,Oregon St.,,,0
8,200,NYG,Ken Harris,RB,,Alabama,,,0
8,201,ATL,Al Richardson,LB,22,Georgia Tech,1985,34,0
8,202,BUF,Todd Krueger,QB,,Northern Michigan,,,0
8,203,KAN,Sam Stepney,LB,,Boston Univ.,,,0
8,204,SEA,Vic Minor,DB,21,La-Monroe,1981,1,0
8,205,NYJ,Jeff Dziama,LB,,Boston Col.,,,0
8,206,NOR,Chuck Evans,LB,23,Stanford,1981,2,0
8,207,SEA,Jack Cosgrove,C,,Pacific,,,0
8,208,NWE,Mike House,TE,,Pacific,,,0
8,209,CLE,Jeff Copeland,LB,,Texas Tech,,,0
8,210,SFO,Bobby Leopold,LB,22,Notre Dame,1986,15,0
8,211,STL,Grant Hudson,DT,,Virginia,,,0
8,212,MIA,Jeff Allen,DB,23,UC Davis,1982,6,0
8,213,TAM,Derrick Goddard,DB,,Drake,,,0
